"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(4, 80)",2017,08,8,123,130,Improved,1985,2731
"(4, 81)",2017,08,8,123,130,Improved,1985,2731
"(4, 82)",2017,08,8,123,130,Improved,1985,2731
"(4, 83)",2017,08,8,123,130,Improved,1985,2731
"(4, 84)",2017,08,8,123,130,Improved,1985,2731
"(4, 85)",2017,08,8,123,130,Improved,1985,2731
"(4, 86)",2017,08,8,123,130,Improved,1985,2731
"(4, 87)",2017,08,8,123,130,Improved,1985,2731
"(4, 88)",2017,08,8,123,130,Improved,1985,2731
"(4, 89)",2017,08,8,123,130,Improved,1985,2731
"(4, 90)",2017,08,8,123,130,Improved,1985,2731
"(4, 91)",2017,08,8,123,130,Improved,1985,2731
"(4, 92)",2017,08,8,123,130,Improved,1985,2731
"(4, 93)",2017,08,8,123,130,Improved,1985,2731
"(4, 94)",2017,08,8,123,130,Improved,1985,2731
"(4, 95)",2017,08,8,123,130,Improved,1985,2731
"(4, 96)",2017,08,8,123,130,Improved,1985,2731
"(4, 97)",2017,08,8,123,130,Improved,1985,2731
"(4, 98)",2017,08,8,123,130,Improved,1985,2731
"(4, 99)",2017,08,8,123,130,Improved,1985,2731
"(4, 100)",2017,08,8,123,130,Improved,1985,2731
"(4, 101)",2017,08,8,123,130,Improved,1985,2731
"(4, 102)",2017,08,8,123,130,Improved,1985,2731
"(4, 103)",2017,08,8,123,130,Improved,1985,2731
"(4, 104)",2017,08,8,123,130,Improved,1985,2731
"(4, 105)",2017,08,8,123,130,Improved,1985,2731
"(4, 106)",2017,08,8,123,130,Improved,1985,2731
"(4, 107)",2017,08,8,123,130,Improved,1985,2731
"(4, 108)",2017,08,8,123,130,Improved,1985,2731
"(4, 109)",2017,08,8,123,130,Improved,1985,2731
"(4, 110)",2017,08,8,123,130,Improved,1985,2731
"(4, 111)",2017,08,8,123,130,Improved,1985,2731
"(4, 112)",2017,08,8,123,130,Improved,1985,2731
"(4, 113)",2017,08,8,123,130,Improved,1985,2731
"(4, 114)",2017,08,8,123,130,Improved,1985,2731
"(4, 115)",2017,08,8,123,130,Improved,1985,2731
"(4, 116)",2017,08,8,123,130,Improved,1985,2731
"(4, 117)",2017,08,8,123,130,Improved,1985,2731
"(4, 118)",2017,08,8,123,130,Improved,1985,2731
"(4, 119)",2017,08,8,123,130,Improved,1985,2731
"(4, 120)",2017,08,8,123,130,Improved,1985,2731
"(4, 121)",2017,08,8,123,130,Improved,1985,2731
"(4, 122)",2017,08,8,123,130,Improved,1985,2731
"(4, 123)",2017,08,8,123,130,Improved,1985,2731
"(4, 124)",2017,08,8,123,130,Improved,1985,2731
"(4, 125)",2017,08,8,123,130,Improved,1985,2731
"(4, 126)",2017,08,8,123,130,Improved,1985,2731
"(4, 127)",2017,08,8,123,130,Improved,1985,2731
"(4, 128)",2017,08,8,123,130,Improved,1985,2731
"(4, 129)",2017,08,8,123,130,Improved,1985,2731
"(4, 130)",2017,08,8,123,130,Improved,1985,2731
"(4, 131)",2017,10,8,141,134,Model A,1995,2978
"(4, 132)",2017,10,8,141,134,Model A,1995,2978
"(4, 133)",2017,10,8,141,134,Model A,1995,2978
"(4, 134)",2017,10,8,141,134,Model A,1995,2978
"(4, 135)",2017,09,8,170,137,Model A,1994,3139
"(4, 136)",2017,09,8,170,137,Model A,1994,3139
"(4, 137)",2017,09,8,170,137,Model A,1994,3139
"(4, 138)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 139)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 140)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 141)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 142)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 143)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 144)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 145)",2017,09,8,536,145,Premium Apartment,1999,3345
"(4, 146)",2017,10,8,834,147,Apartment,1994,3537
"(4, 147)",2017,10,8,834,147,Apartment,1994,3537
"(4, 148)",2017,09,8,114,170,Apartment,1995,3647
"(4, 149)",2017,09,8,114,170,Apartment,1995,3647
"(4, 150)",2017,09,8,114,170,Apartment,1995,3647
"(5, 80)",2017,08,8,123,130,Improved,1985,2731
"(5, 81)",2017,08,8,123,130,Improved,1985,2731
"(5, 82)",2017,08,8,123,130,Improved,1985,2731
"(5, 83)",2017,08,8,123,130,Improved,1985,2731
"(5, 84)",2017,08,8,123,130,Improved,1985,2731
"(5, 85)",2017,08,8,123,130,Improved,1985,2731
"(5, 86)",2017,08,8,123,130,Improved,1985,2731
"(5, 87)",2017,08,8,123,130,Improved,1985,2731
"(5, 88)",2017,08,8,123,130,Improved,1985,2731
"(5, 89)",2017,08,8,123,130,Improved,1985,2731
"(5, 90)",2017,08,8,123,130,Improved,1985,2731
"(5, 91)",2017,08,8,123,130,Improved,1985,2731
"(5, 92)",2017,08,8,123,130,Improved,1985,2731
"(5, 93)",2017,08,8,123,130,Improved,1985,2731
"(5, 94)",2017,08,8,123,130,Improved,1985,2731
"(5, 95)",2017,08,8,123,130,Improved,1985,2731
"(5, 96)",2017,08,8,123,130,Improved,1985,2731
"(5, 97)",2017,08,8,123,130,Improved,1985,2731
"(5, 98)",2017,08,8,123,130,Improved,1985,2731
"(5, 99)",2017,08,8,123,130,Improved,1985,2731
"(5, 100)",2017,08,8,123,130,Improved,1985,2731
"(5, 101)",2017,08,8,123,130,Improved,1985,2731
"(5, 102)",2017,08,8,123,130,Improved,1985,2731
"(5, 103)",2017,08,8,123,130,Improved,1985,2731
"(5, 104)",2017,08,8,123,130,Improved,1985,2731
"(5, 105)",2017,08,8,123,130,Improved,1985,2731
"(5, 106)",2017,08,8,123,130,Improved,1985,2731
"(5, 107)",2017,08,8,123,130,Improved,1985,2731
"(5, 108)",2017,08,8,123,130,Improved,1985,2731
"(5, 109)",2017,08,8,123,130,Improved,1985,2731
"(5, 110)",2017,08,8,123,130,Improved,1985,2731
"(5, 111)",2017,08,8,123,130,Improved,1985,2731
"(5, 112)",2017,08,8,123,130,Improved,1985,2731
"(5, 113)",2017,08,8,123,130,Improved,1985,2731
"(5, 114)",2017,08,8,123,130,Improved,1985,2731
"(5, 115)",2017,08,8,123,130,Improved,1985,2731
"(5, 116)",2017,08,8,123,130,Improved,1985,2731
"(5, 117)",2017,08,8,123,130,Improved,1985,2731
"(5, 118)",2017,08,8,123,130,Improved,1985,2731
"(5, 119)",2017,08,8,123,130,Improved,1985,2731
"(5, 120)",2017,08,8,123,130,Improved,1985,2731
"(5, 121)",2017,08,8,123,130,Improved,1985,2731
"(5, 122)",2017,08,8,123,130,Improved,1985,2731
"(5, 123)",2017,08,8,123,130,Improved,1985,2731
"(5, 124)",2017,08,8,123,130,Improved,1985,2731
"(5, 125)",2017,08,8,123,130,Improved,1985,2731
"(5, 126)",2017,08,8,123,130,Improved,1985,2731
"(5, 127)",2017,08,8,123,130,Improved,1985,2731
"(5, 128)",2017,08,8,123,130,Improved,1985,2731
"(5, 129)",2017,08,8,123,130,Improved,1985,2731
"(5, 130)",2017,08,8,123,130,Improved,1985,2731
"(5, 131)",2017,10,8,141,134,Model A,1995,2978
"(5, 132)",2017,10,8,141,134,Model A,1995,2978
"(5, 133)",2017,10,8,141,134,Model A,1995,2978
"(5, 134)",2017,10,8,141,134,Model A,1995,2978
"(5, 135)",2017,09,8,170,137,Model A,1994,3139
"(5, 136)",2017,09,8,170,137,Model A,1994,3139
"(5, 137)",2017,09,8,170,137,Model A,1994,3139
"(5, 138)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 139)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 140)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 141)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 142)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 143)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 144)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 145)",2017,09,8,536,145,Premium Apartment,1999,3345
"(5, 146)",2017,12,8,345,172,Apartment,1995,3488
"(5, 147)",2017,12,8,345,172,Apartment,1995,3488
"(5, 148)",2017,12,8,345,172,Apartment,1995,3488
"(5, 149)",2017,12,8,345,172,Apartment,1995,3488
"(5, 150)",2017,12,8,345,172,Apartment,1995,3488
"(6, 80)",2017,08,8,123,130,Improved,1985,2731
"(6, 81)",2017,08,8,123,130,Improved,1985,2731
"(6, 82)",2017,08,8,123,130,Improved,1985,2731
"(6, 83)",2017,08,8,123,130,Improved,1985,2731
"(6, 84)",2017,08,8,123,130,Improved,1985,2731
"(6, 85)",2017,08,8,123,130,Improved,1985,2731
"(6, 86)",2017,08,8,123,130,Improved,1985,2731
"(6, 87)",2017,08,8,123,130,Improved,1985,2731
"(6, 88)",2017,08,8,123,130,Improved,1985,2731
"(6, 89)",2017,08,8,123,130,Improved,1985,2731
"(6, 90)",2017,08,8,123,130,Improved,1985,2731
"(6, 91)",2017,08,8,123,130,Improved,1985,2731
"(6, 92)",2017,08,8,123,130,Improved,1985,2731
"(6, 93)",2017,08,8,123,130,Improved,1985,2731
"(6, 94)",2017,08,8,123,130,Improved,1985,2731
"(6, 95)",2017,08,8,123,130,Improved,1985,2731
"(6, 96)",2017,08,8,123,130,Improved,1985,2731
"(6, 97)",2017,08,8,123,130,Improved,1985,2731
"(6, 98)",2017,08,8,123,130,Improved,1985,2731
"(6, 99)",2017,08,8,123,130,Improved,1985,2731
"(6, 100)",2017,08,8,123,130,Improved,1985,2731
"(6, 101)",2017,08,8,123,130,Improved,1985,2731
"(6, 102)",2017,08,8,123,130,Improved,1985,2731
"(6, 103)",2017,08,8,123,130,Improved,1985,2731
"(6, 104)",2017,08,8,123,130,Improved,1985,2731
"(6, 105)",2017,08,8,123,130,Improved,1985,2731
"(6, 106)",2017,08,8,123,130,Improved,1985,2731
"(6, 107)",2017,08,8,123,130,Improved,1985,2731
"(6, 108)",2017,08,8,123,130,Improved,1985,2731
"(6, 109)",2017,08,8,123,130,Improved,1985,2731
"(6, 110)",2017,08,8,123,130,Improved,1985,2731
"(6, 111)",2017,08,8,123,130,Improved,1985,2731
"(6, 112)",2017,08,8,123,130,Improved,1985,2731
"(6, 113)",2017,08,8,123,130,Improved,1985,2731
"(6, 114)",2017,08,8,123,130,Improved,1985,2731
"(6, 115)",2017,08,8,123,130,Improved,1985,2731
"(6, 116)",2017,08,8,123,130,Improved,1985,2731
"(6, 117)",2017,08,8,123,130,Improved,1985,2731
"(6, 118)",2017,08,8,123,130,Improved,1985,2731
"(6, 119)",2017,08,8,123,130,Improved,1985,2731
